Segment,Country, Product , Discount Band , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Government,Canada, Carretera , None ,"$1,618.50 ",$3.00 ,$20.00 ,"$32,370.00 ", $-   ,"$32,370.00 ","$16,185.00 ","$16,185.00 ",1/1/2014,1, January ,2014
Government,Germany, Carretera , None ,"$1,321.00 ",$3.00 ,$20.00 ,"$26,420.00 ", $-   ,"$26,420.00 ","$13,210.00 ","$13,210.00 ",1/1/2014,1, January ,2014
Midmarket,France, Carretera , None ,"$2,178.00 ",$3.00 ,$15.00 ,"$32,670.00 ", $-   ,"$32,670.00 ","$21,780.00 ","$10,890.00 ",1/6/2014,6, June ,2014
Midmarket,Germany, Carretera , None ,$888.00 ,$3.00 ,$15.00 ,"$13,320.00 ", $-   ,"$13,320.00 ","$8,880.00 ","$4,440.00 ",1/6/2014,6, June ,2014
Midmarket,Mexico, Carretera , None ,"$2,470.00 ",$3.00 ,$15.00 ,"$37,050.00 ", $-   ,"$37,050.00 ","$24,700.00 ","$12,350.00 ",1/6/2014,6, June ,2014
Government,Germany, Carretera , None ,"$1,513.00 ",$3.00 ,$350.00 ," $5,29,550.00 ", $-   ," $5,29,550.00 "," $3,93,380.00 "," $1,36,170.00 ",1/12/2014,12, December ,2014
Midmarket,Germany, Montana , None ,$921.00 ,$5.00 ,$15.00 ,"$13,815.00 ", $-   ,"$13,815.00 ","$9,210.00 ","$4,605.00 ",1/3/2014,3, March ,2014
Channel Partners,Canada, Montana , None ,"$2,518.00 ",$5.00 ,$12.00 ,"$30,216.00 ", $-   ,"$30,216.00 ","$7,554.00 ","$22,662.00 ",1/6/2014,6, June ,2014
Government,France, Montana , None ,"$1,899.00 ",$5.00 ,$20.00 ,"$37,980.00 ", $-   ,"$37,980.00 ","$18,990.00 ","$18,990.00 ",1/6/2014,6, June ,2014
Channel Partners,Germany, Montana , None ,"$1,545.00 ",$5.00 ,$12.00 ,"$18,540.00 ", $-   ,"$18,540.00 ","$4,635.00 ","$13,905.00 ",1/6/2014,6, June ,2014
Midmarket,Mexico, Montana , None ,"$2,470.00 ",$5.00 ,$15.00 ,"$37,050.00 ", $-   ,"$37,050.00 ","$24,700.00 ","$12,350.00 ",1/6/2014,6, June ,2014
Enterprise,Canada, Montana , None ,"$2,665.50 ",$5.00 ,$125.00 ," $3,33,187.50 ", $-   ," $3,33,187.50 "," $3,19,860.00 ","$13,327.50 ",1/7/2014,7, July ,2014
Small Business,Mexico, Montana , None ,$958.00 ,$5.00 ,$300.00 ," $2,87,400.00 ", $-   ," $2,87,400.00 "," $2,39,500.00 ","$47,900.00 ",1/8/2014,8, August ,2014
Government,Germany, Montana , None ,"$2,146.00 ",$5.00 ,$7.00 ,"$15,022.00 ", $-   ,"$15,022.00 ","$10,730.00 ","$4,292.00 ",1/9/2014,9, September ,2014
Enterprise,Canada, Montana , None ,$345.00 ,$5.00 ,$125.00 ,"$43,125.00 ", $-   ,"$43,125.00 ","$41,400.00 ","$1,725.00 ",1/10/2013,10, October ,2013
Midmarket,United States of America, Montana , None ,$615.00 ,$5.00 ,$15.00 ,"$9,225.00 ", $-   ,"$9,225.00 ","$6,150.00 ","$3,075.00 ",1/12/2014,12, December ,2014
Government,Canada, Paseo , None ,$292.00 ,$10.00 ,$20.00 ,"$5,840.00 ", $-   ,"$5,840.00 ","$2,920.00 ","$2,920.00 ",1/2/2014,2, February ,2014
Midmarket,Mexico, Paseo , None ,$974.00 ,$10.00 ,$15.00 ,"$14,610.00 ", $-   ,"$14,610.00 ","$9,740.00 ","$4,870.00 ",1/2/2014,2, February ,2014
Channel Partners,Canada, Paseo , None ,"$2,518.00 ",$10.00 ,$12.00 ,"$30,216.00 ", $-   ,"$30,216.00 ","$7,554.00 ","$22,662.00 ",1/6/2014,6, June ,2014
Government,Germany, Paseo , None ,"$1,006.00 ",$10.00 ,$350.00 ," $3,52,100.00 ", $-   ," $3,52,100.00 "," $2,61,560.00 ","$90,540.00 ",1/6/2014,6, June ,2014
Channel Partners,Germany, Paseo , None ,$367.00 ,$10.00 ,$12.00 ,"$4,404.00 ", $-   ,"$4,404.00 ","$1,101.00 ","$3,303.00 ",1/7/2014,7, July ,2014
Government,Mexico, Paseo , None ,$883.00 ,$10.00 ,$7.00 ,"$6,181.00 ", $-   ,"$6,181.00 ","$4,415.00 ","$1,766.00 ",1/8/2014,8, August ,2014
Midmarket,France, Paseo , None ,$549.00 ,$10.00 ,$15.00 ,"$8,235.00 ", $-   ,"$8,235.00 ","$5,490.00 ","$2,745.00 ",1/9/2013,9, September ,2013
Small Business,Mexico, Paseo , None ,$788.00 ,$10.00 ,$300.00 ," $2,36,400.00 ", $-   ," $2,36,400.00 "," $1,97,000.00 ","$39,400.00 ",1/9/2013,9, September ,2013
Midmarket,Mexico, Paseo , None ,"$2,472.00 ",$10.00 ,$15.00 ,"$37,080.00 ", $-   ,"$37,080.00 ","$24,720.00 ","$12,360.00 ",1/9/2014,9, September ,2014
Government,United States of America, Paseo , None ,"$1,143.00 ",$10.00 ,$7.00 ,"$8,001.00 ", $-   ,"$8,001.00 ","$5,715.00 ","$2,286.00 ",1/10/2014,10, October ,2014
Government,Canada, Paseo , None ,"$1,725.00 ",$10.00 ,$350.00 ," $6,03,750.00 ", $-   ," $6,03,750.00 "," $4,48,500.00 "," $1,55,250.00 ",1/11/2013,11, November ,2013
Channel Partners,United States of America, Paseo , None ,$912.00 ,$10.00 ,$12.00 ,"$10,944.00 ", $-   ,"$10,944.00 ","$2,736.00 ","$8,208.00 ",1/11/2013,11, November ,2013
Midmarket,Canada, Paseo , None ,"$2,152.00 ",$10.00 ,$15.00 ,"$32,280.00 ", $-   ,"$32,280.00 ","$21,520.00 ","$10,760.00 ",1/12/2013,12, December ,2013
Government,Canada, Paseo , None ,"$1,817.00 ",$10.00 ,$20.00 ,"$36,340.00 ", $-   ,"$36,340.00 ","$18,170.00 ","$18,170.00 ",1/12/2014,12, December ,2014
Government,Germany, Paseo , None ,"$1,513.00 ",$10.00 ,$350.00 ," $5,29,550.00 ", $-   ," $5,29,550.00 "," $3,93,380.00 "," $1,36,170.00 ",1/12/2014,12, December ,2014
Government,Mexico, Velo , None ,"$1,493.00 ",$120.00 ,$7.00 ,"$10,451.00 ", $-   ,"$10,451.00 ","$7,465.00 ","$2,986.00 ",1/1/2014,1, January ,2014
Enterprise,France, Velo , None ,"$1,804.00 ",$120.00 ,$125.00 ," $2,25,500.00 ", $-   ," $2,25,500.00 "," $2,16,480.00 ","$9,020.00 ",1/2/2014,2, February ,2014
Channel Partners,Germany, Velo , None ,"$2,161.00 ",$120.00 ,$12.00 ,"$25,932.00 ", $-   ,"$25,932.00 ","$6,483.00 ","$19,449.00 ",1/3/2014,3, March ,2014
Government,Germany, Velo , None ,"$1,006.00 ",$120.00 ,$350.00 ," $3,52,100.00 ", $-   ," $3,52,100.00 "," $2,61,560.00 ","$90,540.00 ",1/6/2014,6, June ,2014
Channel Partners,Germany, Velo , None ,"$1,545.00 ",$120.00 ,$12.00 ,"$18,540.00 ", $-   ,"$18,540.00 ","$4,635.00 ","$13,905.00 ",1/6/2014,6, June ,2014
Enterprise,United States of America, Velo , None ,"$2,821.00 ",$120.00 ,$125.00 ," $3,52,625.00 ", $-   ," $3,52,625.00 "," $3,38,520.00 ","$14,105.00 ",1/8/2014,8, August ,2014
Enterprise,Canada, Velo , None ,$345.00 ,$120.00 ,$125.00 ,"$43,125.00 ", $-   ,"$43,125.00 ","$41,400.00 ","$1,725.00 ",1/10/2013,10, October ,2013
Small Business,Canada, VTT , None ,"$2,001.00 ",$250.00 ,$300.00 ," $6,00,300.00 ", $-   ," $6,00,300.00 "," $5,00,250.00 "," $1,00,050.00 ",1/2/2014,2, February ,2014
Channel Partners,Germany, VTT , None ,"$2,838.00 ",$250.00 ,$12.00 ,"$34,056.00 ", $-   ,"$34,056.00 ","$8,514.00 ","$25,542.00 ",1/4/2014,4, April ,2014
Midmarket,France, VTT , None ,"$2,178.00 ",$250.00 ,$15.00 ,"$32,670.00 ", $-   ,"$32,670.00 ","$21,780.00 ","$10,890.00 ",1/6/2014,6, June ,2014
Midmarket,Germany, VTT , None ,$888.00 ,$250.00 ,$15.00 ,"$13,320.00 ", $-   ,"$13,320.00 ","$8,880.00 ","$4,440.00 ",1/6/2014,6, June ,2014
Government,France, VTT , None ,"$1,527.00 ",$250.00 ,$350.00 ," $5,34,450.00 ", $-   ," $5,34,450.00 "," $3,97,020.00 "," $1,37,430.00 ",1/9/2013,9, September ,2013
Small Business,France, VTT , None ,"$2,151.00 ",$250.00 ,$300.00 ," $6,45,300.00 ", $-   ," $6,45,300.00 "," $5,37,750.00 "," $1,07,550.00 ",1/9/2014,9, September ,2014
Government,Canada, VTT , None ,"$1,817.00 ",$250.00 ,$20.00 ,"$36,340.00 ", $-   ,"$36,340.00 ","$18,170.00 ","$18,170.00 ",1/12/2014,12, December ,2014
Government,France, Amarilla , None ,"$2,750.00 ",$260.00 ,$350.00 ," $9,62,500.00 ", $-   ," $9,62,500.00 "," $7,15,000.00 "," $2,47,500.00 ",1/2/2014,2, February ,2014
Channel Partners,United States of America, Amarilla , None ,"$1,953.00 ",$260.00 ,$12.00 ,"$23,436.00 ", $-   ,"$23,436.00 ","$5,859.00 ","$17,577.00 ",1/4/2014,4, April ,2014
Enterprise,Germany, Amarilla , None ,"$4,219.50 ",$260.00 ,$125.00 ," $5,27,437.50 ", $-   ," $5,27,437.50 "," $5,06,340.00 ","$21,097.50 ",1/4/2014,4, April ,2014